musicId,Arousal(mean),Valence(mean)
1,0.4,0.575
4,0.2625,0.2875
5,0.15,0.2
6,0.5125,0.35
7,0.7,0.725
8,0.3875,0.225
9,0.45,0.2875
10,0.4375,0.425
12,0.6875,0.575
13,0.825,0.5875
14,0.5625,0.575
15,0.6125,0.6625
16,0.5375,0.575
17,0.825,0.675
18,0.8,0.8375
19,0.7625,0.75
20,0.55,0.6375
21,0.8625,0.775
23,0.625,0.675
25,0.761363636364,0.784090909091
26,0.825,0.7625
28,0.4875,0.575
29,0.7,0.675
30,0.6125,0.5375
31,0.625,0.4375
32,0.575,0.3875
33,0.6375,0.75
34,0.6875,0.8375
35,0.3375,0.625
37,0.8,0.75
38,0.8875,0.8375
39,0.875,0.590909090909
40,0.375,0.6625
42,0.7625,0.6
43,0.8625,0.7875
44,0.6875,0.675
46,0.8375,0.575
47,0.4,0.4625
48,0.725,0.8375
49,0.7875,0.7125
50,0.8375,0.5875
51,0.825,0.7625
52,0.5875,0.4625
54,0.875,0.775
55,0.625,0.4
56,0.4125,0.275
57,0.525,0.3625
58,0.2625,0.25
59,0.6,0.6
60,0.42045454545500005,0.40909090909100004
61,0.375,0.275
63,0.375,0.4625
65,0.5875,0.75
66,0.8625,0.7625
67,0.8,0.5875
68,0.65,0.575
69,0.7125,0.775
70,0.575,0.525
71,0.7625,0.5875
72,0.75,0.6875
73,0.5375,0.6875
74,0.8875,0.775
75,0.9625,0.7375
76,0.6375,0.65
78,0.5,0.659090909091
79,0.925,0.625
80,0.725,0.7625
81,0.6125,0.7
83,0.775,0.725
84,0.5,0.8
86,0.7,0.725
87,0.6625,0.6
88,0.625,0.5875
89,0.6875,0.75
90,0.65,0.4875
91,0.8625,0.7375
92,0.65,0.575
93,0.6125,0.65
94,0.7625,0.8
96,0.875,0.825
97,0.85,0.75
98,0.7375,0.65
99,0.6875,0.6875
100,0.175,0.3
102,0.7375,0.825
103,0.5875,0.775
104,0.8375,0.825
105,0.275,0.3875
106,0.7,0.675
107,0.6,0.6125
108,0.8625,0.8625
109,0.8,0.7875
113,0.75,0.7125
114,0.7375,0.7375
115,0.8,0.8
116,0.9,0.7625
117,0.85,0.7
119,0.4875,0.6625
120,0.7625,0.7625
123,0.3125,0.4875
124,0.9,0.8375
126,0.7,0.7
127,0.8125,0.825
128,0.5125,0.6
132,0.85,0.7125
133,0.775,0.7375
134,0.8,0.7125
135,0.7375,0.4
136,0.625,0.525
137,0.7625,0.7
138,0.6625,0.5875
139,0.7125,0.775
140,0.5625,0.65
141,0.5375,0.65
142,0.6,0.625
143,0.5625,0.625
144,0.8625,0.825
145,0.7625,0.75
146,0.6625,0.7375
147,0.55,0.65
148,0.4,0.5
149,0.3875,0.2625
150,0.7375,0.725
151,0.325,0.6125
152,0.825,0.725
153,0.675,0.65
156,0.6625,0.55
157,0.534090909091,0.6818181818179999
158,0.725,0.7875
159,0.875,0.675
160,0.825,0.8125
161,0.8625,0.7125
162,0.875,0.7375
165,0.7375,0.675
166,0.625,0.575
167,0.8875,0.775
168,0.7125,0.625
169,0.675,0.6
170,0.3,0.6
171,0.85,0.8125
172,0.6375,0.625
174,0.477272727273,0.534090909091
175,0.475,0.45
176,0.7125,0.65
177,0.55,0.5375
179,0.7375,0.3125
180,0.575,0.6875
181,0.4875,0.625
184,0.825,0.6375
185,0.6625,0.475
186,0.825,0.7125
187,0.7,0.675
188,0.3125,0.4
189,0.6875,0.6375
191,0.7625,0.825
192,0.9375,0.5375
196,0.4375,0.3625
197,0.3375,0.4375
198,0.863636363636,0.75
199,0.7875,0.6875
200,0.7,0.5625
201,0.625,0.6875
202,0.85,0.7625
203,0.775,0.6875
204,0.7375,0.5875
207,0.85,0.7375
209,0.6875,0.775
210,0.8125,0.725
211,0.65,0.65
212,0.6625,0.6
213,0.5625,0.3625
215,0.525,0.5125
216,0.65,0.6625
217,0.6125,0.575
219,0.8375,0.75
220,0.6875,0.675
221,0.8125,0.7
222,0.6625,0.35
224,0.5875,0.5
225,0.4125,0.525
227,0.475,0.425
228,0.55,0.425
229,0.45,0.4
230,0.3625,0.7375
231,0.5375,0.55
232,0.4125,0.475
233,0.4,0.4875
234,0.3875,0.4375
235,0.45,0.7
236,0.3125,0.3
237,0.525,0.3125
238,0.6375,0.5625
239,0.625,0.6875
241,0.525,0.5625
242,0.625,0.6125
244,0.2875,0.4125
249,0.5375,0.45
251,0.431818181818,0.46590909090899996
252,0.1375,0.3625
253,0.6125,0.525
257,0.4125,0.3125
258,0.675,0.475
260,0.4625,0.3
263,0.4125,0.35
265,0.5125,0.675
267,0.275,0.35
269,0.5875,0.6375
273,0.3375,0.3625
275,0.3375,0.4125
276,0.65,0.5125
277,0.2,0.3875
279,0.3625,0.4625
280,0.325,0.525
282,0.5375,0.525
283,0.575,0.5375
284,0.4625,0.4875
285,0.5125,0.525
287,0.5,0.6875
292,0.95,0.8625
293,0.6375,0.6375
294,0.7,0.55
295,0.725,0.75
296,0.8125,0.8
297,0.675,0.7
298,0.725,0.7375
299,0.25,0.65
300,0.55,0.7625
301,0.825,0.7875
302,0.5,0.575
303,0.7375,0.6125
304,0.9,0.7375
305,0.9375,0.75
306,0.775,0.875
307,0.9,0.575
308,0.8125,0.85
309,0.35,0.3875
310,0.4,0.675
312,0.8375,0.7875
313,0.5375,0.6625
314,0.5625,0.65
315,0.85,0.65
316,0.8875,0.8625
317,0.925,0.8625
318,0.725,0.825
319,0.7375,0.5
321,0.6875,0.4875
323,0.8625,0.725
324,0.8875,0.55
325,0.4875,0.6125
326,0.6875,0.7
327,0.7625,0.7375
329,0.9375,0.7875
331,0.85,0.8
332,0.7625,0.725
333,0.7875,0.775
334,0.625,0.5625
336,0.75,0.725
337,0.675,0.8125
338,0.825,0.7125
339,0.725,0.7875
341,0.85,0.8
342,0.75,0.6875
343,0.65,0.55
347,0.1875,0.3375
348,0.4625,0.3
349,0.275,0.3375
350,0.2625,0.375
351,0.275,0.55
353,0.525,0.5875
354,0.35,0.5125
355,0.45,0.325
356,0.475,0.5625
358,0.3875,0.6875
360,0.5875,0.55
361,0.6125,0.55
362,0.4,0.4625
364,0.375,0.4
366,0.2625,0.2875
367,0.6125,0.3125
368,0.6,0.575
370,0.4,0.25
372,0.825,0.175
373,0.85,0.725
375,0.7375,0.775
376,0.6,0.6625
379,0.9375,0.9125
381,0.9375,0.8
382,0.886363636364,0.863636363636
383,0.5,0.4125
385,0.825,0.75
386,0.5625,0.5875
388,0.575,0.7125
389,0.225,0.3625
391,0.85,0.6
393,0.5375,0.4625
394,0.75,0.675
395,0.7125,0.675
396,0.65,0.7125
397,0.45,0.3375
398,0.4375,0.4375
399,0.6125,0.45
401,0.35,0.25
402,0.85,0.6875
403,0.7625,0.8125
405,0.7375,0.7125
407,0.7875,0.5625
408,0.9125,0.6125
409,0.9125,0.6625
410,0.7,0.45
411,0.175,0.6375
412,0.5,0.4375
413,0.575,0.675
414,0.579545454545,0.545454545455
415,0.477272727273,0.5227272727269999
417,0.8625,0.775
418,0.425,0.375
419,0.0875,0.225
420,0.775,0.55
421,0.85,0.725
423,0.8875,0.65
424,0.55,0.65
425,0.95,0.8125
426,0.825,0.7125
427,0.775,0.7
428,0.4875,0.5625
429,0.225,0.4
431,0.525,0.6375
432,0.375,0.4
433,0.3625,0.5
434,0.5125,0.3875
435,0.275,0.35
436,0.25,0.35
437,0.1875,0.375
438,0.3375,0.325
439,0.225,0.2625
440,0.3,0.2875
441,0.675,0.6875
442,0.7125,0.6125
443,0.7,0.675
444,0.7375,0.7625
445,0.5875,0.4625
446,0.425,0.4875
447,0.5875,0.6
448,0.775,0.7375
449,0.7,0.7375
450,0.75,0.7625
451,0.9,0.8375
452,0.65,0.7375
454,0.8375,0.8125
455,0.875,0.7375
456,0.7,0.525
457,0.6625,0.7875
458,0.75,0.7375
460,0.8,0.7
461,0.375,0.6375
462,0.4125,0.65
463,0.3,0.5625
465,0.3375,0.425
466,0.65,0.7375
468,0.7625,0.7875
469,0.7125,0.7125
470,0.7625,0.85
471,0.875,0.7875
472,0.6125,0.6625
476,0.7,0.8625
477,0.575,0.7125
478,0.65,0.675
479,0.225,0.3875
480,0.7875,0.6375
481,0.6875,0.6125
482,0.556818181818,0.568181818182
483,0.575,0.5125
484,0.675,0.625
485,0.7125,0.7
486,0.375,0.575
487,0.8,0.775
488,0.6625,0.6
489,0.909090909091,0.7954545454549999
490,0.825,0.6875
491,0.575,0.4375
492,0.9,0.7875
493,0.7375,0.75
494,0.8,0.4625
495,0.8375,0.475
496,0.6625,0.5375
499,0.8625,0.825
500,0.7,0.425
501,0.8375,0.8125
503,0.613636363636,0.488636363636
504,0.675,0.675
505,0.65,0.6125
506,0.275,0.375
507,0.8,0.6625
508,0.3625,0.5375
510,0.7125,0.825
511,0.6875,0.7375
512,0.3125,0.425
514,0.85,0.75
515,0.6125,0.7875
516,0.4,0.4625
517,0.2625,0.425
518,0.425,0.5125
519,0.35,0.2625
520,0.6625,0.15
521,0.5125,0.375
522,0.5375,0.4625
523,0.3375,0.3375
524,0.5125,0.275
525,0.2375,0.275
526,0.4625,0.525
530,0.295454545455,0.34090909090899996
531,0.225,0.3
532,0.5375,0.3375
534,0.1625,0.2875
535,0.7625,0.7875
536,0.7875,0.825
537,0.7625,0.7125
539,0.6125,0.65
540,0.5125,0.3875
541,0.275,0.35
542,0.7125,0.6125
544,0.45,0.625
546,0.7875,0.575
548,0.45,0.55
549,0.4375,0.3125
550,0.4375,0.375
551,0.2875,0.375
552,0.85,0.8125
554,0.6625,0.65
555,0.7625,0.6875
558,0.55,0.5125
560,0.6625,0.5125
561,0.825,0.8875
562,0.7375,0.6875
563,0.7375,0.6875
564,0.9,0.475
565,0.725,0.6375
566,0.775,0.725
567,0.875,0.825
568,0.975,0.825
569,0.7,0.65
570,0.7375,0.5375
571,0.6625,0.725
572,0.7375,0.525
573,0.7625,0.7625
574,0.7875,0.775
575,0.825,0.7875
576,0.7125,0.7125
577,0.6375,0.575
578,0.4625,0.625
579,0.2625,0.225
580,0.85,0.7875
582,0.4125,0.5
583,0.5125,0.5
584,0.375,0.4625
585,0.525,0.4625
587,0.3875,0.6
588,0.7,0.775
589,0.55,0.4875
590,0.4625,0.3625
591,0.25,0.35
592,0.4125,0.4125
594,0.5125,0.4375
595,0.3875,0.4
597,0.8,0.7
598,0.85,0.8125
599,0.55,0.55
600,0.4125,0.65
601,0.6875,0.7
602,0.6125,0.5375
603,0.8125,0.7125
605,0.9375,0.875
606,0.875,0.8
607,0.7125,0.6375
608,0.6375,0.5625
609,0.4375,0.5125
611,0.675,0.475
612,0.4625,0.375
613,0.5875,0.6875
614,0.2875,0.4875
615,0.7375,0.675
616,0.8625,0.7875
617,0.8875,0.8125
621,0.3625,0.55
622,0.8125,0.675
623,0.85,0.775
624,0.575,0.55
625,0.75,0.65
626,0.9375,0.775
627,0.6125,0.675
628,0.6125,0.625
629,0.7125,0.5625
630,0.65,0.775
631,0.55,0.5625
632,0.8625,0.6875
634,0.225,0.2375
635,0.6375,0.825
636,0.7625,0.75
637,0.775,0.65
638,0.775,0.775
639,0.775,0.6875
643,0.55,0.5875
644,0.7375,0.7625
645,0.6,0.6125
646,0.8625,0.7875
647,0.5625,0.6125
648,0.6875,0.7
649,0.4375,0.3125
650,0.6375,0.5375
651,0.825,0.775
652,0.55,0.675
653,0.575,0.6625
654,0.8875,0.875
656,0.4875,0.4125
657,0.6,0.5125
659,0.3875,0.375
660,0.8375,0.825
661,0.6375,0.55
662,0.675,0.525
665,0.75,0.75
666,0.675,0.7
668,0.725,0.65
670,0.35,0.425
671,0.675,0.4125
672,0.55,0.4625
673,0.5125,0.2
674,0.3875,0.25
675,0.3125,0.3
676,0.55,0.475
677,0.5625,0.3625
678,0.7875,0.8625
679,0.7,0.6
681,0.8,0.7
682,0.775,0.6125
683,0.2375,0.7375
684,0.375,0.45
685,0.625,0.7375
686,0.6,0.725
688,0.4625,0.4625
689,0.425,0.35
692,0.5,0.5125
693,0.6,0.4
694,0.3875,0.3375
697,0.7,0.4875
698,0.3625,0.2625
699,0.7125,0.775
700,0.35,0.475
703,0.545454545455,0.545454545455
704,0.625,0.7
705,0.1875,0.4375
706,0.4,0.6125
707,0.3125,0.3
708,0.6625,0.5875
710,0.7875,0.775
711,0.525,0.675
713,0.6875,0.7375
715,0.325,0.525
716,0.5,0.525
717,0.5375,0.6875
718,0.5125,0.5875
719,0.525,0.5625
720,0.7375,0.6375
722,0.575,0.65
726,0.7375,0.7125
727,0.55,0.475
728,0.4375,0.275
729,0.525,0.4
730,0.55,0.575
731,0.6875,0.7
732,0.6375,0.6125
733,0.5,0.6
734,0.8375,0.825
736,0.4875,0.4125
738,0.5875,0.7125
739,0.6875,0.6875
740,0.7954545454549999,0.75
741,0.475,0.425
742,0.725,0.725
743,0.85,0.725
744,0.8125,0.725
745,0.75,0.6125
746,0.6625,0.7875
747,0.8,0.775
748,0.3625,0.4625
749,0.525,0.4875
750,0.4,0.2625
751,0.5875,0.525
752,0.8375,0.7875
753,0.7625,0.625
754,0.65,0.8
755,0.5125,0.625
757,0.6625,0.375
758,0.8375,0.625
759,0.7375,0.8375
760,0.7875,0.7375
761,0.775,0.7875
763,0.3875,0.55
765,0.8,0.7625
767,0.475,0.5125
769,0.525,0.475
770,0.5625,0.6125
771,0.425,0.5625
772,0.8375,0.6125
773,0.75,0.65
774,0.6375,0.75
775,0.3375,0.475
776,0.6375,0.5125
777,0.525,0.475
778,0.9125,0.8125
779,0.75,0.4125
780,0.5125,0.4375
783,0.475,0.45
784,0.45,0.35
786,0.725,0.45
788,0.6125,0.525
789,0.35,0.125
790,0.6875,0.725
791,0.7875,0.7125
792,0.85,0.625
793,0.7125,0.6375
794,0.575,0.575
796,0.6,0.375
797,0.6375,0.775
798,0.7375,0.6
799,0.7625,0.5375
801,0.3375,0.2875
803,0.6875,0.75
804,0.675,0.65
806,0.6125,0.725
807,0.3375,0.3625
808,0.325,0.25
809,0.1875,0.65
810,0.4125,0.65
812,0.8,0.6875
813,0.675,0.675
814,0.7125,0.7375
815,0.2875,0.3125
816,0.3,0.425
818,0.275,0.1375
820,0.6625,0.6
821,0.7875,0.75
823,0.675,0.6625
824,0.8625,0.825
825,0.5375,0.8375
827,0.6,0.825
828,0.65,0.6
829,0.8,0.8125
830,0.775,0.6
831,0.8375,0.9125
832,0.85,0.625
833,0.8,0.7
834,0.8875,0.8125
835,0.6625,0.6125
836,0.8875,0.7875
837,0.7375,0.725
839,0.75,0.625
842,0.6,0.35
844,0.7875,0.75
846,0.925,0.5375
847,0.5125,0.7625
848,0.7125,0.5125
850,0.775,0.6125
851,0.4625,0.4125
852,0.4875,0.45
853,0.65,0.625
854,0.8375,0.7875
855,0.875,0.775
857,0.675,0.2125
858,0.625,0.6125
859,0.5875,0.725
860,0.675,0.6375
861,0.7625,0.7625
862,0.8875,0.85
863,0.575,0.625
864,0.488636363636,0.40909090909100004
865,0.8875,0.7875
868,0.7,0.625
869,0.45,0.5125
870,0.65,0.5625
871,0.75,0.65
876,0.775,0.775
879,0.4875,0.6375
880,0.675,0.5375
881,0.5875,0.6
882,0.85,0.6
883,0.8625,0.725
884,0.7125,0.7625
885,0.425,0.4875
886,0.525,0.725
888,0.675,0.675
889,0.8375,0.75
890,0.7875,0.7875
892,0.6625,0.65
894,0.375,0.375
895,0.6375,0.5125
896,0.761363636364,0.636363636364
897,0.3875,0.5625
900,0.65,0.5375
903,0.7625,0.6
904,0.7,0.5625
905,0.475,0.575
906,0.325,0.4375
907,0.5,0.5625
908,0.75,0.6625
909,0.825,0.6625
911,0.525,0.3875
913,0.35,0.275
915,0.6875,0.575
916,0.2125,0.3375
917,0.7375,0.6625
918,0.4,0.6375
919,0.6,0.7375
921,0.475,0.5625
922,0.7625,0.7375
924,0.6125,0.65
925,0.5875,0.6125
926,0.25,0.4875
927,0.5625,0.65
928,0.8375,0.825
929,0.6,0.3375
931,0.4375,0.5
932,0.7,0.6625
933,0.8125,0.7375
934,0.4875,0.3875
935,0.511363636364,0.386363636364
936,0.4125,0.45
937,0.6,0.5875
938,0.725,0.75
939,0.725,0.6625
940,0.625,0.5
941,0.125,0.3
943,0.625,0.4875
945,0.675,0.575
946,0.425,0.4
948,0.4875,0.4
950,0.7,0.6875
951,0.625,0.75
952,0.525,0.4875
953,0.3375,0.55
957,0.525,0.3375
958,0.825,0.8625
959,0.8,0.45
962,0.6375,0.2
964,0.5375,0.6
965,0.5,0.5375
966,0.575,0.45
967,0.675,0.5125
968,0.4875,0.4
969,0.5125,0.175
970,0.7,0.4875
971,0.5875,0.55
973,0.575,0.6
974,0.625,0.5875
978,0.6875,0.725
979,0.3625,0.5125
980,0.6375,0.725
981,0.8,0.6
983,0.775,0.5
984,0.825,0.7375
985,0.75,0.7
989,0.575,0.3125
992,0.4625,0.3625
993,0.8625,0.7625
996,0.875,0.5625
997,0.7125,0.6625
999,0.875,0.775
1000,0.6625,0.575
